"Localidade","IBGE","nota_2015","meta_2015"
"Alenquer",1500404,3.8,4
"Almeirim",1500503,3.6,4.2
"Altamira",1500602,5.2,4.7
"Anajás",1500701,3.3,4
"Ananindeua",1500800,4.7,4.6
"Anapu",1500859,4.1,3.8
"Augusto Corrêa",1500909,3.8,3.9
"Aurora do Pará",1500958,4.3,3.9
"Aveiro",1501006,4,3.9
"Bagre",1501105,3.8,4.1
"Baião",1501204,3.4,3.9
"Bannach",1501253,3.9,5
"Barcarena",1501303,3.8,4.4
"Belém",1501402,4.4,4.6
"Belterra",1501451,4.7,4.3
"Benevides",1501501,5.4,4.6
"Bom Jesus do Tocantins",1501576,5,3.9
"Bonito",1501600,3.1,4.2
"Bragança",1501709,3.9,4.4
"Brasil Novo",1501725,5.5,4.7
"Brejo Grande do Araguaia",1501758,4.5,3.9
"Breu Branco",1501782,3.9,4.1
"Breves",1501808,3.3,4.2
"Bujaru",1501907,3.8,3.9
"Cachoeira do Piriá",1501956,3.4,3.4
"Cachoeira do Arari",1502004,3.6,3.6
"Cametá",1502103,3.9,3.9
"Canaã dos Carajás",1502152,4.7,4.6
"Capanema",1502202,4.1,4.2
"Capitão Poço",1502301,3.7,4
"Castanhal",1502400,4.6,4.4
"Chaves",1502509,3.6,4.2
"Colares",1502608,4.3,4.3
"Conceição do Araguaia",1502707,4.3,4.2
"Concórdia do Pará",1502756,4.1,3.9
"Cumaru do Norte",1502764,3.7,4.1
"Curionópolis",1502772,5,4
"Curralinho",1502806,3.3,3.9
"Curuá",1502855,4.5,3.7
"Curuçá",1502905,3.6,4.2
"Dom Eliseu",1502939,5.9,3.9
"Eldorado dos Carajás",1502954,4.3,4
"Faro",1503002,3.8,4
"Floresta do Araguaia",1503044,4,3.8
"Garrafão do Norte",1503077,3.7,3.9
"Goianésia do Pará",1503093,4.4,4.1
"Gurupá",1503101,3.4,3.8
"Igarapé-Açu",1503200,3.5,4
"Igarapé-Miri",1503309,3.9,4.1
"Inhangapi",1503408,3.7,4
"Ipixuna do Pará",1503457,4.5,4
"Irituia",1503507,3.9,4.3
"Itaituba",1503606,4.3,4
"Itupiranga",1503705,3.5,3.8
"Jacareacanga",1503754,3.7,4.2
"Jacundá",1503804,4.4,3.9
"Juruti",1503903,4.7,4.4
"Limoeiro do Ajuru",1504000,3.4,3.9
"Mãe do Rio",1504059,4.5,4.3
"Magalhães Barata",1504109,3.6,4.1
"Marabá",1504208,4.6,4.1
"Maracanã",1504307,4.1,4.1
"Marapanim",1504406,3.6,3.9
"Marituba",1504422,4.3,4.5
"Medicilândia",1504455,4.2,4
"Melgaço",1504505,3.4,3.8
"Mocajuba",1504604,3.7,3.8
"Moju",1504703,4.1,3.9
"Mojuí dos Campos",1504752,4.7,4.4
"Monte Alegre",1504802,4.2,4
"Muaná",1504901,4.4,4
"Nova Esperança do Piriá",1504950,3.7,4.1
"Nova Ipixuna",1504976,4,3.9
"Nova Timboteua",1505007,4,4.5
"Novo Progresso",1505031,5.1,4.8
"Novo Repartimento",1505064,4.1,4
"Óbidos",1505106,4.5,4.1
"Oeiras do Pará",1505205,3.4,4
"Oriximiná",1505304,4.1,4.1
"Ourém",1505403,3.8,4
"Ourilândia do Norte",1505437,4.7,4.3
"Pacajá",1505486,4,4
"Palestina do Pará",1505494,4.3,3.7
"Paragominas",1505502,5.2,4.6
"Parauapebas",1505536,5.6,4.8
"Pau d'Arco",1505551,3.7,4
"Peixe-Boi",1505601,4.3,4.4
"Piçarra",1505635,4,4.2
"Placas",1505650,3.5,4
"Ponta de Pedras",1505700,4.2,4.3
"Portel",1505809,3.3,4.1
"Porto de Moz",1505908,3.6,3.7
"Prainha",1506005,3.4,3.9
"Primavera",1506104,4.2,4.2
"Quatipuru",1506112,3.6,4.3
"Redenção",1506138,4.5,4.4
