"Localidade","IBGE","nota_2015","meta_2015"
"Agricolândia",2200103,4.3,4.1
"Água Branca",2200202,5.4,4.3
"Alagoinha do Piauí",2200251,4.6,4.4
"Alegrete do Piauí",2200277,4.1,4.6
"Alto Longá",2200301,5,3.6
"Altos",2200400,4.6,4
"Alvorada do Gurguéia",2200459,3.7,4
"Amarante",2200509,3.7,3.6
"Angical do Piauí",2200608,5.1,4.1
"Anísio de Abreu",2200707,3.9,3.5
"Antônio Almeida",2200806,5,4.3
"Aroazes",2200905,4.6,4.4
"Aroeiras do Itaim",2200954,0,4.3
"Arraial",2201002,4.1,4
"Assunção do Piauí",2201051,3.2,3.5
"Avelino Lopes",2201101,3.6,3.8
"Baixa Grande do Ribeiro",2201150,4.7,4.1
"Barra d'Alcântara",2201176,4.8,4.1
"Barras",2201200,4.3,4.1
"Barreiras do Piauí",2201309,2.9,3.6
"Barro Duro",2201408,3.8,3.9
"Batalha",2201507,4.1,5
"Bela Vista do Piauí",2201556,0,4.4
"Belém do Piauí",2201572,4.5,4.1
"Beneditinos",2201606,0,4.1
"Bertolínia",2201705,4.1,4
"Betânia do Piauí",2201739,4.2,3.7
"Boa Hora",2201770,4,3.7
"Bocaina",2201804,0,4.4
"Bom Jesus",2201903,5.3,4
"Bonfim do Piauí",2201929,3,3.4
"Boqueirão do Piauí",2201945,3.9,4.1
"Brasileira",2201960,4.5,4
"Brejo do Piauí",2201988,3.8,4.7
"Buriti dos Lopes",2202000,4.2,4.1
"Buriti dos Montes",2202026,6.5,4.2
"Cabeceiras do Piauí",2202059,4.8,3.6
"Cajazeiras do Piauí",2202075,0,4.4
"Cajueiro da Praia",2202083,4.9,4.2
"Caldeirão Grande do Piauí",2202091,5.3,5.2
"Campinas do Piauí",2202109,3.6,4.2
"Campo Alegre do Fidalgo",2202117,2.9,3.9
"Campo Grande do Piauí",2202133,5.1,4
"Campo Largo do Piauí",2202174,4.3,3.6
"Campo Maior",2202208,4.7,4.2
"Canavieira",2202251,3.2,4.2
"Canto do Buriti",2202307,4.2,4.6
"Capitão de Campos",2202406,4.6,3.8
"Capitão Gervásio Oliveira",2202455,4.4,4.5
"Caracol",2202505,3.1,4.8
"Caraúbas do Piauí",2202539,0,4.7
"Caridade do Piauí",2202554,4,4
"Castelo do Piauí",2202604,6,4.2
"Caxingó",2202653,4.1,4.3
"Cocal",2202703,4.4,4.2
"Cocal de Telha",2202711,4.6,4.4
"Cocal dos Alves",2202729,6.3,5
"Coivaras",2202737,4.4,4.3
"Colônia do Gurguéia",2202752,4.4,4.1
"Colônia do Piauí",2202778,5,4.5
"Conceição do Canindé",2202802,3.4,3.9
"Coronel José Dias",2202851,4.1,5
"Corrente",2202901,3.4,3.9
"Cristalândia do Piauí",2203008,3.4,3.8
"Cristino Castro",2203107,2.8,4.3
"Curimatá",2203206,3.4,4.7
"Currais",2203230,3.5,3.9
"Curralinhos",2203255,3.1,3.5
"Curral Novo do Piauí",2203271,4.7,3.9
"Demerval Lobão",2203305,3.9,3.8
"Dirceu Arcoverde",2203354,2.8,3.9
"Dom Expedito Lopes",2203404,4.8,4.4
"Domingos Mourão",2203420,7.3,3.9
"Dom Inocêncio",2203453,5.2,4.1
"Elesbão Veloso",2203503,3.7,4.2
"Eliseu Martins",2203602,3.8,3.9
"Esperantina",2203701,3.9,4
"Fartura do Piauí",2203750,4.2,3.5
"Flores do Piauí",2203800,3.5,4.2
"Floresta do Piauí",2203859,3.9,4.3
"Floriano",2203909,5.3,4.5
"Francinópolis",2204006,4.1,4.1
"Francisco Ayres",2204105,3.8,3.6
"Francisco Macedo",2204154,3.9,4.3
"Francisco Santos",2204204,4.5,4.8
"Fronteiras",2204303,4.8,3.9
"Geminiano",2204352,3.4,4.3
"Gilbués",2204402,3.1,4
"Guadalupe",2204501,4.5,4.2
"Guaribas",2204550,4,3
"Hugo Napoleão",2204600,4.8,3.5
"Ilha Grande",2204659,4.1,3.9
"Inhuma",2204709,5,4.6
"Ipiranga do Piauí",2204808,4.9,4.5
"Isaías Coelho",2204907,3.6,4.1
"Itainópolis",2205003,4.6,4.2
"Itaueira",2205102,4,4.4
"Jacobina do Piauí",2205151,4.4,3.4
"Jaicós",2205201,3.5,4.3
"Jardim do Mulato",2205250,3.7,4.5
"Jatobá do Piauí",2205276,4.1,4.1
"Jerumenha",2205300,3.9,4.3
"João Costa",2205359,4.3,3.7
"Joaquim Pires",2205409,4.5,4.2
"Joca Marques",2205458,4.5,4.4
"José de Freitas",2205508,4,3.9
"Juazeiro do Piauí",2205516,4.6,3.7
"Júlio Borges",2205524,4.5,4
"Jurema",2205532,0,3.5
"Lagoinha do Piauí",2205540,4.5,4.9
"Lagoa Alegre",2205557,4.1,3.9
"Lagoa do Barro do Piauí",2205565,4.5,3.8
"Lagoa de São Francisco",2205573,4.3,3.5
"Lagoa do Piauí",2205581,4.3,3.4
"Lagoa do Sítio",2205599,3.9,3.9
"Landri Sales",2205607,4.2,4
"Luís Correia",2205706,3.6,4.3
"Luzilândia",2205805,3.5,3.8
"Madeiro",2205854,4,3.5
"Manoel Emídio",2205904,5,3.8
"Marcolândia",2205953,4.3,3.9
"Marcos Parente",2206001,4.2,4.2
"Massapê do Piauí",2206050,3.9,3.8
"Matias Olímpio",2206100,4,3.9
"Miguel Alves",2206209,3.4,3.7
"Miguel Leão",2206308,2.3,4.1
"Milton Brandão",2206357,3.5,4
"Monsenhor Gil",2206407,4.7,4
"Monsenhor Hipólito",2206506,5.2,4.7
"Monte Alegre do Piauí",2206605,3,3.5
"Morro Cabeça no Tempo",2206654,3.4,3.8
"Morro do Chapéu do Piauí",2206670,3.8,4
"Murici dos Portelas",2206696,4.2,4.6
"Nazaré do Piauí",2206704,4.2,4.8
"Nazária",2206720,4.1,5
"Nossa Senhora de Nazaré",2206753,3.9,3.8
"Nossa Senhora dos Remédios",2206803,3.8,4.6
"Novo Oriente do Piauí",2206902,3.2,3.5
"Novo Santo Antônio",2206951,3.9,4.1
"Oeiras",2207009,5.4,4.4
"Olho d'Água do Piauí",2207108,5.5,4.1
"Padre Marcos",2207207,4.8,4.5
"Paes Landim",2207306,3.5,3.7
"Pajeú do Piauí",2207355,5.3,4.6
"Palmeira do Piauí",2207405,4.2,4.3
"Palmeirais",2207504,3.5,4.1
"Paquetá",2207553,4.6,3.9
"Parnaguá",2207603,3.4,3.8
"Parnaíba",2207702,4.3,4.4
"Passagem Franca do Piauí",2207751,3.4,3.9
"Patos do Piauí",2207777,3.7,4
"Pau d'Arco do Piauí",2207793,3.9,4.3
"Paulistana",2207801,3.6,3.8
"Pavussu",2207850,3.6,4.9
"Pedro II",2207900,3.8,4.1
"Pedro Laurentino",2207934,3.9,3.9
"Nova Santa Rita",2207959,3.7,3.5
"Picos",2208007,4.4,4.1
"Pimenteiras",2208106,3.8,3.8
"Pio IX",2208205,5.1,4.2
"Piracuruca",2208304,5.2,4.9
"Piripiri",2208403,4.9,4.7
"Porto",2208502,3.9,3.8
"Porto Alegre do Piauí",2208551,5,3.9
"Prata do Piauí",2208601,4.3,4.5
"Queimada Nova",2208650,3.7,4.1
"Redenção do Gurguéia",2208700,3,4.3
"Regeneração",2208809,3.9,3.6
"Riacho Frio",2208858,3.9,4
"Ribeira do Piauí",2208874,0,4.7
"Ribeiro Gonçalves",2208908,4.4,4.7
"Rio Grande do Piauí",2209005,3.7,3.9
"Santa Cruz do Piauí",2209104,3.9,3.8
"Santa Cruz dos Milagres",2209153,5.4,4.4
"Santa Filomena",2209203,4.5,4.3
"Santa Luz",2209302,4.4,4
"Santana do Piauí",2209351,5.5,5
"Santa Rosa do Piauí",2209377,5,4.4
"Santo Antônio de Lisboa",2209401,3.8,5
"Santo Antônio dos Milagres",2209450,3.8,4.5
"Santo Inácio do Piauí",2209500,5.6,5
"São Braz do Piauí",2209559,4.4,4.7
"São Félix do Piauí",2209609,4.3,4
"São Francisco de Assis do Piauí",2209658,3.3,4
"São Francisco do Piauí",2209708,4.3,5
"São Gonçalo do Gurguéia",2209757,3.7,3.5
"São Gonçalo do Piauí",2209807,4.6,3.9
"São João da Canabrava",2209856,5.7,3.9
"São João da Fronteira",2209872,4.2,3.7
"São João da Serra",2209906,4.8,5.1
"São João da Varjota",2209955,5,3.8
"São João do Arraial",2209971,4.2,3.9
"São João do Piauí",2210003,3.8,3.8
"São José do Divino",2210052,5.1,5
"São José do Peixe",2210102,4.2,4.5
"São José do Piauí",2210201,0,4
"São Julião",2210300,3.8,3.8
"São Lourenço do Piauí",2210359,3.9,4.4
"São Miguel da Baixa Grande",2210383,4,3.8
"São Miguel do Fidalgo",2210391,4.2,3.9
"São Miguel do Tapuio",2210409,5.2,3.9
"São Pedro do Piauí",2210508,3.9,3.7
"São Raimundo Nonato",2210607,4,4
"Sebastião Barros",2210623,3.8,4.6
"Sebastião Leal",2210631,4.8,3.6
"Sigefredo Pacheco",2210656,4.3,3.8
"Simões",2210706,4.5,4.1
"Simplício Mendes",2210805,5.8,3.8
"Socorro do Piauí",2210904,0,3.4
"Sussuapara",2210938,4.4,4.2
"Tamboril do Piauí",2210953,4.1,4.1
"Tanque do Piauí",2210979,5.8,4.4
"Teresina",2211001,5.9,5.1
"União",2211100,3.8,3.9
"Uruçuí",2211209,4.2,4.1
"Valença do Piauí",2211308,4,4.1
"Várzea Branca",2211357,3.3,3.4
"Várzea Grande",2211407,4.2,4.3
"Vera Mendes",2211506,3.9,3.7
"Vila Nova do Piauí",2211605,5.7,5.1
"Wall Ferraz",2211704,4.3,4.1
"Abaiara",2300101,5.5,4.9
"Acarape",2300150,5.4,4.1
"Acaraú",2300200,5.3,4.8
"Acopiara",2300309,6,4.2
"Aiuaba",2300408,5.8,5.7
"Alcântaras",2300507,7,4.1
"Altaneira",2300606,7.1,4.5
"Alto Santo",2300705,6.1,5.2
"Amontada",2300754,5.7,4.6
"Antonina do Norte",2300804,6.5,4.2
"Apuiarés",2300903,5.3,4.7
"Aquiraz",2301000,4.9,3.8
"Aracati",2301109,5.7,4.7
"Aracoiaba",2301208,5.1,4.1
"Ararendá",2301257,7.2,4.4
"Araripe",2301307,5.9,4
"Aratuba",2301406,6.1,4.6
"Arneiroz",2301505,5.8,5.1
"Assaré",2301604,5.8,4.5
"Aurora",2301703,4.9,4.9
"Baixio",2301802,4.7,4.2
"Banabuiú",2301851,5.5,3.9
"Barbalha",2301901,5.8,4.4
"Barreira",2301950,5.8,4
"Barro",2302008,5.3,4.7
"Barroquinha",2302057,5.6,4.1
"Baturité",2302107,4.6,3.8
"Beberibe",2302206,5.5,4.7
"Bela Cruz",2302305,5.6,5.1
"Boa Viagem",2302404,5.2,3.9
"Brejo Santo",2302503,8.1,4.3
"Camocim",2302602,5.8,5
"Campos Sales",2302701,5.5,4.3
"Canindé",2302800,5.1,4.4
"Capistrano",2302909,5.4,4.7
"Caridade",2303006,4.8,4.3
"Cariré",2303105,6.6,4.5
"Caririaçu",2303204,5.5,3.8
"Cariús",2303303,5.7,4.7
"Carnaubal",2303402,5.7,4.7
"Cascavel",2303501,5.4,4.7
"Catarina",2303600,5.8,4.5
"Catunda",2303659,6.4,4.9
"Caucaia",2303709,5,4.6
"Cedro",2303808,5,3.8
"Chaval",2303907,5.2,4.1
"Choró",2303931,5.5,4.1
"Chorozinho",2303956,5.5,3.8
"Coreaú",2304004,7.8,4.4
"Crateús",2304103,5.5,4.3
"Crato",2304202,5.1,4.3
"Croatá",2304236,5.8,5
"Cruz",2304251,7.5,5
"Deputado Irapuan Pinheiro",2304269,8.2,5.1
"Ererê",2304277,5.7,4.5
"Eusébio",2304285,6.2,5.2
"Farias Brito",2304301,6.6,4.5
"Forquilha",2304350,6.5,4.6
"Fortaleza",2304400,5.4,4.7
"Fortim",2304459,6,5.2
"Frecheirinha",2304509,7.6,4.3
"General Sampaio",2304608,5.6,3.9
"Graça",2304657,6.5,5.1
"Granja",2304707,7.3,4.7
"Granjeiro",2304806,5.8,4.5
"Groaíras",2304905,7.8,5.4
"Guaiúba",2304954,4.8,4.2
"Guaraciaba do Norte",2305001,6.3,4.7
"Guaramiranga",2305100,5.8,4.7
"Hidrolândia",2305209,5.8,4.3
"Horizonte",2305233,6.1,4.6
"Ibaretama",2305266,4.4,4.3
"Ibiapina",2305308,5.2,4.2
"Ibicuitinga",2305332,5.5,4.2
"Icapuí",2305357,0,4
"Icó",2305407,4.6,3.7
"Iguatu",2305506,5.6,4.7
"Independência",2305605,7.8,4.3
"Ipaporanga",2305654,6.8,5.3
"Ipaumirim",2305704,4.1,3.7
"Ipu",2305803,4.8,3.6
"Ipueiras",2305902,5.3,3.9
"Iracema",2306009,5.2,4.7
"Irauçuba",2306108,6.1,4.6
"Itaiçaba",2306207,6.3,5
"Itaitinga",2306256,5.4,4.3
"Itapagé",2306306,5.7,5.1
"Itapipoca",2306405,5.6,4.5
"Itapiúna",2306504,5,4.4
"Itarema",2306553,6.3,4.5
"Itatira",2306603,5.1,4.5
"Jaguaretama",2306702,5.8,3.9
"Jaguaribara",2306801,4.9,4.5
"Jaguaribe",2306900,5.5,4
"Jaguaruana",2307007,6.3,4.4
"Jardim",2307106,5.9,4.4
"Jati",2307205,6.3,4.7
"Jijoca de Jericoacoara",2307254,7.6,5.1
"Juazeiro do Norte",2307304,4.9,4.7
"Jucás",2307403,5.4,4.8
"Lavras da Mangabeira",2307502,4.5,3.7
"Limoeiro do Norte",2307601,5.5,4.9
"Madalena",2307635,5,4.1
"Maracanaú",2307650,5.7,5.2
"Maranguape",2307700,5.3,5
"Marco",2307809,5.7,4.5
"Martinópole",2307908,6.5,4.3
"Massapê",2308005,7.6,4.6
"Mauriti",2308104,5.5,3.6
"Meruoca",2308203,7.1,4.2
"Milagres",2308302,5,3.9
"Milhã",2308351,7.7,4.3
"Miraíma",2308377,4.8,4.7
"Missão Velha",2308401,6.1,3.9
"Mombaça",2308500,5.8,4.4
"Monsenhor Tabosa",2308609,5.5,3.4
"Morada Nova",2308708,5,4.7
"Moraújo",2308807,6.2,4.5
"Morrinhos",2308906,6.7,4.3
"Mucambo",2309003,6.1,4.9
"Mulungu",2309102,5.1,3.9
"Nova Olinda",2309201,7.5,4
"Nova Russas",2309300,5.1,4.2
"Novo Oriente",2309409,7.9,4.7
"Ocara",2309458,6,4.2
"Orós",2309508,5,3.9
"Pacajus",2309607,5.7,3.9
"Pacatuba",2309706,5.3,5
"Pacoti",2309805,5.3,4.4
"Pacujá",2309904,6.8,4.7
"Palhano",2310001,6,4.5
"Palmácia",2310100,5.5,4.7
"Paracuru",2310209,5.7,5
"Paraipaba",2310258,6.4,4.8
"Parambu",2310308,6,4.5
"Paramoti",2310407,5.3,4.2
"Pedra Branca",2310506,6.2,4.7
"Penaforte",2310605,6.3,3.9
"Pentecoste",2310704,5.8,4.4
"Pereiro",2310803,5.6,4.2
"Pindoretama",2310852,5.8,4.1
"Piquet Carneiro",2310902,7.1,4.4
"Pires Ferreira",2310951,8.7,4.8
"Poranga",2311009,6.1,3.8
"Porteiras",2311108,6.3,4.6
"Potengi",2311207,5,4
"Potiretama",2311231,5.7,4.5
"Quiterianópolis",2311264,6.4,5.1
"Quixadá",2311306,5.3,4.8
"Quixelô",2311355,5.1,4.6
"Quixeramobim",2311405,6.3,4.4
"Quixeré",2311504,5.9,4
"Redenção",2311603,5.7,4.6
"Reriutaba",2311702,7.5,4.6
"Russas",2311801,6.2,4.7
"Saboeiro",2311900,6,4.2
"Salitre",2311959,5.3,3.1
"Santana do Acaraú",2312007,5.2,3.8
"Santana do Cariri",2312106,5.6,4.6
"Santa Quitéria",2312205,5.7,4.7
"São Benedito",2312304,5.2,4.4
"São Gonçalo do Amarante",2312403,6.1,5.2
"São João do Jaguaribe",2312502,6,3.7
"São Luís do Curu",2312601,4.8,4.1
"Senador Pompeu",2312700,5.3,4.4
"Senador Sá",2312809,6.5,4.5
"Sobral",2312908,8.8,5.3
"Solonópole",2313005,6.2,4.9
"Tabuleiro do Norte",2313104,5.5,4.8
"Tamboril",2313203,5.9,3.5
"Tarrafas",2313252,5.6,4.4
"Tauá",2313302,6.5,4.9
"Tejuçuoca",2313351,5.3,4.8
"Tianguá",2313401,6,4.5
"Trairi",2313500,5.5,4.5
"Tururu",2313559,6.4,4.7
"Ubajara",2313609,6.3,5
"Umari",2313708,4.6,3.8
"Umirim",2313757,5.3,4.4
"Uruburetama",2313807,5.6,4.7
"Uruoca",2313906,7.2,4.5
"Varjota",2313955,7.2,4.5
"Várzea Alegre",2314003,5.2,4.6
"Viçosa do Ceará",2314102,5.9,4.5
"Acari",2400109,5.9,5.7
"Açu",2400208,4.1,3.6
"Afonso Bezerra",2400307,3.9,3.8
"Água Nova",2400406,5.1,4.3
"Alexandria",2400505,0,3.9
"Almino Afonso",2400604,4.8,3.9
"Alto do Rodrigues",2400703,4.6,4
"Angicos",2400802,4.3,3.8
"Antônio Martins",2400901,4.4,3.6
"Apodi",2401008,4.8,4.4
"Areia Branca",2401107,4.4,4.1
"Arês",2401206,3.8,3.7
"Augusto Severo",2401305,4.1,4.3
"Baía Formosa",2401404,4,4.2
"Baraúna",2401453,4.3,3.7
"Barcelona",2401503,4.6,4
"Bento Fernandes",2401602,3.7,3.9
"Bodó",2401651,3.6,3.7
"Bom Jesus",2401701,3.7,4.3
"Brejinho",2401800,4.2,3.7
"Caiçara do Norte",2401859,4.3,4.2
"Caiçara do Rio do Vento",2401909,3.9,4.5
"Caicó",2402006,5,4.3
"Campo Redondo",2402105,4.5,4.2
"Canguaretama",2402204,3.8,3.8
"Caraúbas",2402303,4.8,4.1
"Carnaúba dos Dantas",2402402,4.8,4.5
"Carnaubais",2402501,4.1,4.3
"Ceará-Mirim",2402600,4,3.6
"Cerro Corá",2402709,4.3,4.3
"Coronel Ezequiel",2402808,4.1,4.7
"Coronel João Pessoa",2402907,4.5,3.9
"Cruzeta",2403004,5.9,5.4
"Currais Novos",2403103,5.1,4.6
"Doutor Severiano",2403202,5.1,4.6
"Parnamirim",2403251,4.6,4.6
"Encanto",2403301,4.1,4.1
"Equador",2403400,4.6,4.6
"Espírito Santo",2403509,3,3.7
"Extremoz",2403608,4.1,4.2
"Felipe Guerra",2403707,5.8,4
"Fernando Pedroza",2403756,4.7,3.2
"Florânia",2403806,4.8,4.1
"Francisco Dantas",2403905,4.1,3.8
"Frutuoso Gomes",2404002,4.1,4.1
"Galinhos",2404101,3.8,4
"Goianinha",2404200,4.5,3.7
"Governador Dix-Sept Rosado",2404309,4.4,4.3
"Grossos",2404408,3.9,3.8
"Guamaré",2404507,0,3.9
"Ielmo Marinho",2404606,4.4,4.3
"Ipanguaçu",2404705,3.7,3.9
"Ipueira",2404804,5.7,4.5
"Itajá",2404853,4,3.4
"Itaú",2404903,4.7,4.1
"Jaçanã",2405009,4.6,4.2
"Jandaíra",2405108,3.5,3.8
"Janduís",2405207,4.1,3.6
"Januário Cicco",2405306,3.5,4.6
"Japi",2405405,3.9,3.8
"Jardim de Angicos",2405504,3.6,4.5
"Jardim de Piranhas",2405603,4.2,3.5
"Jardim do Seridó",2405702,5.3,4.2
"João Câmara",2405801,3.6,3.8
"João Dias",2405900,3.5,4.3
"José da Penha",2406007,3.8,3.2
"Jucurutu",2406106,4.8,3.7
"Jundiá",2406155,3.4,3.3
"Lagoa d'Anta",2406205,3.4,3.3
"Lagoa de Pedras",2406304,4.4,3.7
"Lagoa de Velhos",2406403,3.4,4.3
"Lagoa Nova",2406502,4.9,3.4
"Lagoa Salgada",2406601,3.6,3.8
"Lajes",2406700,5.1,4
"Lajes Pintadas",2406809,4,4.5
"Lucrécia",2406908,0,4.5
"Luís Gomes",2407005,4,4
"Macaíba",2407104,4.5,3.8
"Macau",2407203,3.9,3.9
"Major Sales",2407252,4.7,4.5
"Marcelino Vieira",2407302,0,4.1
"Martins",2407401,5.2,3.7
"Maxaranguape",2407500,4.4,3.3
"Messias Targino",2407609,4.2,4.3
"Montanhas",2407708,3.9,3.9
"Monte Alegre",2407807,4,3.7
"Monte das Gameleiras",2407906,3.1,3.6
"Mossoró",2408003,5.2,4.6
"Natal",2408102,4.6,4.5
"Nísia Floresta",2408201,4.2,3.9
"Nova Cruz",2408300,4.1,4
"Olho-d'Água do Borges",2408409,4.5,3.4
"Ouro Branco",2408508,0,4.3
"Paraná",2408607,0,3.8
"Paraú",2408706,3.5,3.7
"Parazinho",2408805,4,4
"Parelhas",2408904,5.2,4.6
"Rio do Fogo",2408953,3.6,3.5
"Passa e Fica",2409100,3.9,4.2
"Passagem",2409209,3.9,3.9
"Patu",2409308,4.1,4
"Santa Maria",2409332,3.9,4
"Pau dos Ferros",2409407,5.2,4.6
"Pedra Grande",2409506,4,3.3
"Pedra Preta",2409605,0,3.6
"Pedro Avelino",2409704,4.1,3.8
"Pedro Velho",2409803,3.9,3.7
"Pendências",2409902,4.3,3.6
"Pilões",2410009,3.6,4.6
"Poço Branco",2410108,3.6,3.6
"Portalegre",2410207,4.1,4.2
"Porto do Mangue",2410256,3.8,4.2
"Presidente Juscelino",2410306,4.2,4.1
"Pureza",2410405,3.4,3.8
"Rafael Fernandes",2410504,4,4
"Rafael Godeiro",2410603,5.1,4
"Riacho da Cruz",2410702,4.9,4
"Riacho de Santana",2410801,4.7,4.6
"Riachuelo",2410900,4,3.9
"Rodolfo Fernandes",2411007,4.2,4
"Tibau",2411056,0,3.9
"Ruy Barbosa",2411106,4.8,3.9
"Santa Cruz",2411205,4.1,4
"Santana do Matos",2411403,4.4,3.9
"Santana do Seridó",2411429,6.1,4.6
"Santo Antônio",2411502,4.2,3.9
"São Bento do Norte",2411601,3.6,3.6
"São Bento do Trairí",2411700,4.3,4
"São Fernando",2411809,5.5,4.2
"São Francisco do Oeste",2411908,4.3,3.6
"São Gonçalo do Amarante",2412005,4,4
"São João do Sabugi",2412104,5.6,4
"São José de Mipibu",2412203,3.9,3.7
"São José do Campestre",2412302,3.6,3.9
"São José do Seridó",2412401,5.7,4.2
"São Miguel",2412500,5,4.1
"São Miguel do Gostoso",2412559,4.8,4
"São Paulo do Potengi",2412609,4,4.2
"São Pedro",2412708,4.4,3.8
"São Rafael",2412807,4.2,3.7
"São Tomé",2412906,3.8,3.9
"São Vicente",2413003,4.6,4.8
"Senador Elói de Souza",2413102,3.4,4.1
"Senador Georgino Avelino",2413201,4.1,3.6
"Serra de São Bento",2413300,3.6,4.3
"Serra do Mel",2413359,4.2,4.2
"Serra Negra do Norte",2413409,4.8,3.8
"Serrinha",2413508,5,3.7
"Serrinha dos Pintos",2413557,4.5,3.7
"Severiano Melo",2413607,4.1,4
"Sítio Novo",2413706,4.5,4.2
"Taboleiro Grande",2413805,4,5.4
"Taipu",2413904,4.2,3.5
"Tangará",2414001,4.5,4.5
"Tenente Ananias",2414100,4.2,4.2
"Tenente Laurentino Cruz",2414159,4.4,4.2
"Tibau do Sul",2414209,4.4,3.6
"Timbaúba dos Batistas",2414308,4.7,4.2
"Touros",2414407,3.8,3.1
"Triunfo Potiguar",2414456,3.7,3.9
"Umarizal",2414506,4.2,3.9
"Upanema",2414605,4.8,4.2
"Várzea",2414704,3.6,3.5
"Venha-Ver",2414753,4.3,3.7
"Vera Cruz",2414803,4.1,4.2
"Viçosa",2414902,4.5,3.4
"Vila Flor",2415008,3.6,3.5
"Água Branca",2500106,6,5
"Aguiar",2500205,4.6,3.7
"Alagoa Grande",2500304,4.1,4.2
"Alagoa Nova",2500403,4.4,4
"Alagoinha",2500502,4.2,3.8
"Alcantil",2500536,4.6,4.2
"Algodão de Jandaíra",2500577,4,4
"Alhandra",2500601,3.9,4.2
"São João do Rio do Peixe",2500700,4.2,3.4
"Amparo",2500734,5.3,4
"Aparecida",2500775,4.5,4.5
"Araçagi",2500809,4,4
"Arara",2500908,4.8,3.9
"Araruna",2501005,4.3,4.4
"Areia",2501104,4,4.2
"Areia de Baraúnas",2501153,0,3.7
"Areial",2501203,5.1,4.4
"Aroeiras",2501302,4.1,4.2
"Assunção",2501351,4.6,3.7
"Baía da Traição",2501401,4.6,4
"Bananeiras",2501500,4.7,4.1
"Baraúna",2501534,5.5,4.1
"Barra de Santana",2501575,5,4.5
"Barra de Santa Rosa",2501609,4.7,4.1
"Barra de São Miguel",2501708,4.8,4.2
"Bayeux",2501807,4.2,4.1
"Belém",2501906,4.5,4.1
"Belém do Brejo do Cruz",2502003,4.3,3.6
"Bernardino Batista",2502052,4.4,3.6
"Boa Ventura",2502102,3.7,3.6
"Boa Vista",2502151,6.6,5.2
"Bom Jesus",2502201,4.5,4
"Bom Sucesso",2502300,4.7,4.8
"Bonito de Santa Fé",2502409,4.4,4.7
"Boqueirão",2502508,4.7,3.9
"Igaracy",2502607,4.6,3.7
"Borborema",2502706,4.2,4.2
"Brejo do Cruz",2502805,4.8,4.1
"Brejo dos Santos",2502904,4,4.1
"Caaporã",2503001,3.7,4.4
"Cabaceiras",2503100,6,4.1
"Cabedelo",2503209,4.3,3.9
"Cachoeira dos Índios",2503308,3.9,3.7
"Cacimba de Areia",2503407,3.9,4
"Cacimba de Dentro",2503506,4.3,4.1
"Cacimbas",2503555,4.1,3.4
"Caiçara",2503605,4.5,3.8
"Cajazeiras",2503704,4.4,3.7
"Cajazeirinhas",2503753,5.2,4.3
"Caldas Brandão",2503803,4.7,5.1
"Camalaú",2503902,5,4.6
"Campina Grande",2504009,4.7,4.5
"Capim",2504033,3.5,3.6
"Caraúbas",2504074,4.7,4.7
"Carrapateira",2504108,5.7,4.5
"Casserengue",2504157,4.8,4.2
"Catingueira",2504207,4,4.1
"Catolé do Rocha",2504306,4.5,4.7
"Caturité",2504355,4.1,4.6
"Conceição",2504405,3.8,4.3
"Condado",2504504,4.6,3.7
"Conde",2504603,4,4.1
"Congo",2504702,4.4,4.8
"Coremas",2504801,4.1,3.8
"Cruz do Espírito Santo",2504900,3.9,4.1
"Cubati",2505006,4.4,4.8
"Cuité",2505105,5.4,4.5
"Cuitegi",2505204,4.1,4
"Cuité de Mamanguape",2505238,4.2,4.3
"Curral de Cima",2505279,3.6,4
"Curral Velho",2505303,4.4,4.5
"Damião",2505352,4.1,3.8
"Desterro",2505402,3.9,4.4
"Vista Serrana",2505501,0,4.2
"Diamante",2505600,0,4.2
"Dona Inês",2505709,5.3,4.7
"Duas Estradas",2505808,4,4.2
"Emas",2505907,4.3,4.2
"Esperança",2506004,5.5,5.1
"Fagundes",2506103,4.7,4.6
"Frei Martinho",2506202,4.5,4.7
"Gado Bravo",2506251,3.8,4.3
"Guarabira",2506301,4.5,4.2
"Gurinhém",2506400,3.7,3.7
"Gurjão",2506509,4.9,4.4
"Ibiara",2506608,4.4,4.5
"Imaculada",2506707,4.5,4.1
"Ingá",2506806,3.8,3.7
"Itabaiana",2506905,4.3,4.6
"Itaporanga",2507002,4.3,4
"Itapororoca",2507101,4,3.6
"Itatuba",2507200,3.9,3.9
"Jacaraú",2507309,4,4.2
"Jericó",2507408,4.6,4.1
"João Pessoa",2507507,4.6,4.5
"Juarez Távora",2507606,4.6,3.8
"Juazeirinho",2507705,4.1,4.2
"Junco do Seridó",2507804,4.1,3.8
"Juripiranga",2507903,4.1,3.8
"Juru",2508000,4.8,4.2
"Lagoa",2508109,4.2,3.9
"Lagoa de Dentro",2508208,4.2,4.6
"Lagoa Seca",2508307,4.9,4
"Lastro",2508406,4.6,4.2
"Livramento",2508505,5,4.6
"Logradouro",2508554,5.5,3.6
"Lucena",2508604,4,4.2
"Mãe d'Água",2508703,5.3,3.7
"Malta",2508802,4.6,4.5
"Mamanguape",2508901,3.8,3.9
"Manaíra",2509008,0,3.7
"Marcação",2509057,3.2,3.8
"Mari",2509107,3.8,4.4
"Marizópolis",2509156,4.3,4.6
"Massaranduba",2509206,4.4,3.9
"Mataraca",2509305,0,3.9
